"","gbifID","species","decimalLatitude","decimalLongitude","elevation"
"97",441686341,"Amelanchier alnifolia",47.60639,-122.33083,64
"98",441686338,"Amelanchier alnifolia",47.10636,-122.50879,87
"99",441686337,"Amelanchier alnifolia",48.11833,-123.42944,21
"100",441686334,"Amelanchier alnifolia",47.60639,-122.33083,64
"101",441686333,"Amelanchier alnifolia",48.05194,-122.17583,7
"102",441686330,"Amelanchier alnifolia",47.648433,-122.933459,3
"103",441686329,"Amelanchier alnifolia",45.715,-121.46333,44
"104",441686314,"Amelanchier alnifolia",49.233333,-125.366667,166
"105",441686311,"Amelanchier alnifolia",47.21528,-123.09944,9
"106",441686283,"Amelanchier alnifolia",46.91028,-117.07472,748
"107",441686282,"Amelanchier alnifolia",46.57583,-117.28778,457
"108",441686269,"Amelanchier alnifolia",46.76951,-121.73014,1481
"109",441686265,"Amelanchier alnifolia",48.541111,-123.081944,33
"110",441686260,"Amelanchier alnifolia",50.233333,-121.566667,337.5
"111",441686241,"Amelanchier alnifolia",48.054722,-121.5175,579
"112",441686226,"Amelanchier alnifolia",48.333611,-122.165278,195
"113",441686190,"Amelanchier alnifolia",48.901553,-121.008936,1570
"114",441686186,"Amelanchier alnifolia",48.465833,-121.026667,1142
"115",441686091,"Amelanchier alnifolia",46.928988,-117.270805,633
"116",441686090,"Amelanchier alnifolia",48.73222,-122.67083,2
"117",441686089,"Amelanchier alnifolia",47.14472,-122.83278,0
"118",441686086,"Amelanchier alnifolia",47.81083,-122.37611,25
"119",441686085,"Amelanchier alnifolia",48.741035,-117.547779,884
"120",441686084,"Amelanchier alnifolia",48.267608,-119.740738,339
"121",441686083,"Amelanchier alnifolia",47.45158,-122.82889,10
"122",441686081,"Amelanchier alnifolia",47.199444,-121,655
"123",441686080,"Amelanchier alnifolia",47.53028,-122.03139,152
"124",441686079,"Amelanchier alnifolia",47.77561,-123.12014,533.5
"125",441686078,"Amelanchier alnifolia",48.16444,-122.6775,4
"126",441686076,"Amelanchier alnifolia",47.75812,-119.21832,485
"127",441686074,"Amelanchier alnifolia",47.78111,-120.84194,667
"128",441686073,"Amelanchier alnifolia",48.34123,-124.66272,5
"129",441686071,"Amelanchier alnifolia",45.710936,-121.671067,53
"130",441686068,"Amelanchier alnifolia",47.23806,-123.40667,139
"131",441686067,"Amelanchier alnifolia",47.23306,-123.95806,48
"132",441686066,"Amelanchier alnifolia",46.364115,-122.90722,15
"133",441686064,"Amelanchier alnifolia",48.15389,-118.16806,534
"134",441686063,"Amelanchier alnifolia",47.65889,-117.425,573
"135",441686062,"Amelanchier alnifolia",47.32944,-121.37167,793
"136",441686061,"Amelanchier alnifolia",47.60472,-119.34639,482
"137",441686058,"Amelanchier alnifolia",47.091529,-117.968252,534
"138",441686055,"Amelanchier alnifolia",48.245825,-119.738807,548.5
"139",441686037,"Amelanchier alnifolia",48.694833,-121.1234,809
"140",441686036,"Amelanchier alnifolia",48.88333,-118.76667,1117
"141",441686021,"Amelanchier alnifolia",48.87517,-121.01923,463
"142",441686017,"Amelanchier alnifolia",47.884183,-118.979067,715
"143",441686016,"Amelanchier alnifolia",47.866117,-118.7234,773
"144",441686015,"Amelanchier alnifolia",47.62542,-119.33154,460
"145",441686014,"Amelanchier alnifolia",47.870278,-119.073889,557
"146",441686012,"Amelanchier alnifolia",47.6671,-119.602333,616
"147",441686010,"Amelanchier alnifolia",42.720483,-118.623817,2351
"148",441686008,"Amelanchier alnifolia",45.741,-121.22549,120
"149",441686004,"Amelanchier alnifolia",47.17804,-120.65198,304
"150",441685986,"Amelanchier alnifolia",48.66315,-123.1729,8
"151",441685985,"Amelanchier alnifolia",48.66315,-123.1729,8
"152",441685984,"Amelanchier alnifolia",48.76422,-122.88631,0
"153",441685983,"Amelanchier alnifolia",48.61385,-122.974533,15
"154",441685982,"Amelanchier alnifolia",47.5004,-118.55721,557
"155",441685965,"Amelanchier alnifolia",47.20124,-119.98695,375
"156",441685964,"Amelanchier alnifolia",47.16837,-119.99768,221
"157",441685960,"Amelanchier alnifolia",47.3302,-120.6752,1000
"158",441685956,"Amelanchier alnifolia",47.09935,-120.842033,718
"159",441685954,"Amelanchier alnifolia",48.76398,-122.88579,3
"160",441685953,"Amelanchier alnifolia",48.76435,-122.88718,0
"161",441685951,"Amelanchier alnifolia",48.74791,-122.84196,3
"162",441685944,"Amelanchier alnifolia",47.545859,-120.284934,335
"163",441685937,"Amelanchier alnifolia",48.756717,-122.891011,20
"164",441685927,"Amelanchier alnifolia",48.53402,-122.55352,21
"165",441685926,"Amelanchier alnifolia",47.07405,-120.2119,1074
"166",441685924,"Amelanchier alnifolia",48.5221,-122.545467,51
"167",441685920,"Amelanchier alnifolia",48.532833,-122.970333,18
"168",441685918,"Amelanchier alnifolia",47.328467,-120.653267,993
"169",441685915,"Amelanchier alnifolia",47.14745,-120.0138,370
"170",441685914,"Amelanchier alnifolia",47.119444,-120.030556,357
"171",441685913,"Amelanchier alnifolia",47.290383,-120.6991,835
"172",441685899,"Amelanchier alnifolia",47.086567,-120.034,178
"173",441685898,"Amelanchier alnifolia",47.07845,-120.051967,285
"174",441685888,"Amelanchier alnifolia",48.535283,-122.55555,5
"175",441685883,"Amelanchier alnifolia",48.598367,-123.024067,2
"176",441685874,"Amelanchier alnifolia",48.388806,-120.836639,662
"177",441685839,"Amelanchier alnifolia",46.548948,-120.622878,384
"178",441685837,"Amelanchier alnifolia",47.60639,-122.33083,64
"179",441685836,"Amelanchier alnifolia",47.60639,-122.33083,64
"180",441685835,"Amelanchier alnifolia",47.60639,-122.33083,64
"181",441685833,"Amelanchier alnifolia",47.4275,-117.37917,740
"182",441685832,"Amelanchier alnifolia",47.60639,-122.33083,64
"183",441685822,"Amelanchier alnifolia",47.905004,-120.520078,1454
"184",441685804,"Amelanchier alnifolia",45.69861,-121.735,35
"185",441685802,"Amelanchier alnifolia",48.99308,-117.30244,793
"186",441685801,"Amelanchier alnifolia",46.74942,-121.24936,1949
"187",441685800,"Amelanchier alnifolia",46.74942,-121.24936,1949
"188",441685799,"Amelanchier alnifolia",47.595991,-120.447236,1079
"189",441685798,"Amelanchier alnifolia",48.592222,-123.031944,6
"190",441685797,"Amelanchier alnifolia",45.715,-121.46333,44
"191",441685794,"Amelanchier alnifolia",46.995886,-120.971168,1743
"192",441685793,"Amelanchier alnifolia",46.74942,-121.24936,610
"193",441685792,"Amelanchier alnifolia",45.57278,-122.19389,4
"194",441685791,"Amelanchier alnifolia",47.4275,-117.37917,740
"195",441685790,"Amelanchier alnifolia",46.235384,-120.418937,305
"196",441685788,"Amelanchier alnifolia",47.60639,-122.33083,64
"197",441685785,"Amelanchier alnifolia",48.99308,-117.30244,793
"198",441685776,"Amelanchier alnifolia",47.17056,-122.93073,33
