gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2430440754,9781ce05-2379-4a10-ab3b-c91346510df8,800a9c77-d446-426b-86a8-30e342886a88,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,A. Gray,US,Johnson Dairy. Siskiyou Mtns.,California,PRESENT,,55807027-6d78-46bd-b2cb-301295ee35aa,41.952348,-123.075199,1200,,1829,,,,1934-08-13T00:00:00,13,8,1934,2997456,2997456,PRESERVED_SPECIMEN,RSA,POM,,3116,Barbara J. Errter,1992-01-01T00:00:00,CC_BY_NC_4_0,,Louis C. Wheeler,,,2023-02-01T17:32:43.140Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2430419104,9781ce05-2379-4a10-ab3b-c91346510df8,69c79cba-8e1b-4a90-99eb-a827a12bf66f,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,A. Gray,US,Semi-shaded granite cliffs southwest of Upper English Lake. The Salmon Mountains. High Lake Basins in the vicinity of English Peak. Marble Mountain Wilderness Area.,California,PRESENT,,55807027-6d78-46bd-b2cb-301295ee35aa,41.4096,-123.21,200,,1921,,,,1967-07-30T00:00:00,30,7,1967,2997456,2997456,PRESERVED_SPECIMEN,RSA,RSA,,227,,,CC_BY_NC_4_0,,Frederick W. Oettinger,,,2023-02-01T17:32:42.547Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2430364652,9781ce05-2379-4a10-ab3b-c91346510df8,12c45961-b7be-4a9a-94a2-3e291b232f12,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,A. Gray,US,W end of Charmaine Lake. Salmon Mtns. High Lake Basins in the vicinity of English Peak. Marble Mtn Wilderness Area.,California,PRESENT,,55807027-6d78-46bd-b2cb-301295ee35aa,41.4132078,-123.2006391,173,,1921,,,,1968-08-05T00:00:00,5,8,1968,2997456,2997456,PRESERVED_SPECIMEN,RSA,RSA,,415,Barbara J. Errter,1992-01-01T00:00:00,CC_BY_NC_4_0,,Frederick W. Oettinger,,,2023-02-01T17:32:57.096Z,,COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2430220280,9781ce05-2379-4a10-ab3b-c91346510df8,071c8ee8-4f7b-4284-8b1a-6468d3f1ff85,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,A. Gray,US,Bridge Creek near Chelan Lake.,Washington,PRESENT,,55807027-6d78-46bd-b2cb-301295ee35aa,48.461477,-120.792723,1600,,914,,,,1911-07-11T00:00:00,11,7,1911,2997456,2997456,PRESERVED_SPECIMEN,RSA,POM,RSA0095581,s.n.,,,CC_BY_NC_4_0,,Marcus E. Jones,,,2023-02-01T17:32:36.133Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2423258629,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/7441511,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.04162,-121.703103,,,,,,,2017-08-04T13:47:57,4,8,2017,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,7441511,,Courtney Kelly Jett,2017-08-11T00:41:26,CC_BY_NC_4_0,Courtney Kelly Jett,Courtney Kelly Jett,,,2023-02-13T16:09:01.142Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2423253982,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/4288620,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.133789,-121.847253,,,,,,,2016-08-24T17:26:00,24,8,2016,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,4288620,,Courtney Kelly Jett,2016-10-07T02:44:08,CC_BY_NC_4_0,Courtney Kelly Jett,Courtney Kelly Jett,,,2023-02-13T15:59:56.915Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2423243717,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33409602,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.274792,-122.141425,15,,,,,,2019-09-25T11:03:49,25,9,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,33409602,,Matt Reala,2019-09-26T02:44:26,CC_BY_NC_4_0,Matt Reala,Matt Reala,,,2023-02-13T16:01:26.888Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2423147880,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33025209,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Washington,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,46.797439,-121.733938,1500,,,,,,2016-08-05T12:29:00,5,8,2016,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,33025209,,runcator,2019-09-19T19:29:42,CC_BY_NC_4_0,runcator,runcator,,,2023-02-13T16:01:26.795Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422948220,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/32277026,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.396733,-121.736992,30,,,,,,2019-09-01T12:34:00,1,9,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,32277026,,Lindsey K. Wise,2019-09-26T16:57:51,CC_BY_NC_4_0,Remington Jackson,Remington Jackson,,,2023-02-13T16:09:58.746Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2422878570,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31153007,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus lasiococcus,,SPECIES,Rubus lasiococcus A.Gray,Rubus lasiococcus,,US,,Oregon,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.252798,-122.141505,2444,,,,,,2019-08-19T11:54:40,19,8,2019,2997456,2997456,HUMAN_OBSERVATION,iNaturalist,Observations,31153007,,Matt Reala,2019-08-20T01:36:42,CC_BY_NC_4_0,Matt Reala,Matt Reala,,,2023-02-13T16:01:21.045Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
