gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
811880141,Rubus lasiococcus,45.37361,-121.69444,3347,-0.3,10,-6.7,16.7,3492,509,2.8,19.6,1294,441,6660,1,130,176,279,103,2624,-32.9,25.4,14.9,220,17,82,333.12,77
441828819,Rubus lasiococcus,47.07017,-121.06326,1802,4.5,13.8,-3.2,17,1826,263,8,52.4,510,1025,4910,16,166,173,275,103,741,-30,32.9,15.6,577,213,65,135.4,363
441828784,Rubus lasiococcus,47.980822,-120.737187,1500,5.6,16,-3.5,19.5,1569,172,10,93.1,487,1341,4539,41,180,160,276,116,612,-30.8,35,14.2,668,353,63,100.98,577
441828657,Rubus lasiococcus,47.27694,-121.3375,1198,6.5,15.8,-1.8,17.6,2280,343,7.2,46.2,337,1402,4228,41,214,149,285,136,546,-26.1,34.7,13.8,659,205,69,175.85,590
441828554,Rubus lasiococcus,48.06611,-121.50778,1067,7.5,16.6,-0.5,17.1,3955,714,4.4,23.2,253,1597,3867,56,233,140,292,152,581,-24.2,34.5,14,668,77,69,340.16,692
441828302,Rubus lasiococcus,47.98167,-123.60139,174,10.4,17.8,4,13.8,1616,182,12.6,97.8,85,2182,2883,105,308,97,318,222,50,-14.9,36.6,11.4,736,343,71,99.28,984
441828294,Rubus lasiococcus,47.744438,-121.090111,1524.5,5.1,14.7,-3,17.7,2222,330,6.8,44.4,461,1138,4702,23,185,161,278,117,770,-29.2,33.1,13.8,598,190,68,175.86,436
441828198,Rubus lasiococcus,46.85163,-121.76092,4380,-7.7,2.8,-14.8,17.6,2993,403,0.8,6.9,3050,59,9354,0,36,69,236,166,2832,-46.8,18.6,16.8,113,11,75,294.51,2
441828195,Rubus lasiococcus,48.105535,-120.737582,1220,6.3,17.3,-3.7,21,1341,130,12.2,133.3,470,1552,4311,71,197,145,281,136,504,-30.7,35.9,14.6,680,407,65,76.48,722
441828194,Rubus lasiococcus,47.99538,-123.46784,1896,3.6,12.4,-3.5,15.9,2361,254,5.8,48.9,585,831,5248,9,164,175,282,107,1126,-30.2,30.1,15.7,453,159,70,201.98,240
441828193,Rubus lasiococcus,47.71167,-121.15444,640,7.7,17,-1,18,2103,355,8.4,48,263,1671,3824,69,232,142,287,145,336,-25,36.1,12.8,712,225,67,151.94,746
441828187,Rubus lasiococcus,47.52205,-123.26061,1677,4.9,13.2,-1.6,14.8,2838,409,5.3,32.3,388,980,4757,12,195,163,284,121,821,-26.1,31,16.1,490,102,72,245.64,319
441828110,Rubus lasiococcus,45.94957,-121.72064,979,8.2,17.5,0.1,17.4,1847,228,9.9,76.7,212,1767,3637,81,247,134,297,163,232,-22.9,36.7,14.7,746,310,68,124.11,804
441828102,Rubus lasiococcus,47.366667,-121.551389,1128,7.3,15.8,-0.4,16.2,2764,479,6.3,33,247,1518,3917,43,237,144,293,148,412,-23.4,34.3,11.6,661,125,70,222.72,626
441828097,Rubus lasiococcus,47.348833,-121.501433,1497,6.6,15.2,-0.9,16.1,2990,528,5.6,28.7,284,1344,4174,31,227,148,291,143,549,-24.3,33.5,12.6,621,101,71,249.58,528
441828088,Rubus lasiococcus,47.32,-121.593056,1098,7.2,15.5,-0.4,15.9,2708,468,6.4,33.2,248,1480,3960,38,237,145,293,149,408,-23.3,33.8,12.2,658,123,70,218.92,598
441828087,Rubus lasiococcus,47.32,-121.593056,1098,7.2,15.5,-0.4,15.9,2708,468,6.4,33.2,248,1480,3960,38,237,145,293,149,408,-23.3,33.8,12.2,658,123,70,218.92,598
441828080,Rubus lasiococcus,47.29615,-121.534167,1113,7.2,15.7,-0.6,16.3,2649,445,6.5,35.3,258,1486,3979,41,233,146,292,146,427,-23.7,34.4,13.1,662,148,70,211.57,609
441827949,Rubus lasiococcus,48.063294,-121.513675,991,7.7,16.7,-0.4,17.2,3921,716,4.5,23.4,246,1643,3809,61,237,138,293,155,546,-24,34.6,14,673,77,69,336.25,719
441827948,Rubus lasiococcus,46.19893,-122.18888,1875,4.2,13.6,-2.3,15.9,4347,620,3.3,21.9,496,921,5015,11,188,161,276,116,1745,-26.3,30.9,13.7,459,66,75,399.69,300
441827946,Rubus lasiococcus,47.56,-123.42528,1220,7.1,15,0.8,14.3,3724,545,4.6,27.5,204,1368,3978,30,244,140,298,158,452,-22.2,32.6,11.2,598,76,73,327.45,520
441827945,Rubus lasiococcus,47.46722,-121.45472,1220,6.7,15.4,-0.8,16.1,3242,606,5.2,25.4,277,1366,4144,34,231,145,291,146,571,-23.9,33.5,13.1,615,86,72,276.5,548
441827943,Rubus lasiococcus,47.93333,-123.40833,1524,5.2,13.6,-1.4,15,1820,203,8.4,67.1,363,1040,4651,15,201,157,286,129,526,-26,31.4,13.1,519,200,72,143.33,360
4022272624,Rubus lasiococcus,43.64247,-122.035773,1477,6.8,16,-0.5,16.5,1721,277,9.8,57.9,288,1435,4122,45,191,167,274,106,339,-26,36.3,15.4,798,318,60,105.26,609
4022251381,Rubus lasiococcus,43.781739,-122.045997,1649,5.6,14.6,-1.4,16,1795,276,8.7,52.8,365,1150,4541,22,169,177,267,90,499,-27.9,34.9,16,719,279,60,121.36,435
4022200662,Rubus lasiococcus,46.869818,-121.519426,1628,4.8,13.9,-2.8,16.7,1931,249,7.6,55.9,465,1043,4819,17,175,171,277,107,731,-29.2,32.6,14.8,565,214,66,147.89,370
4022161491,Rubus lasiococcus,43.639137,-122.041573,1483,6.8,16.1,-0.5,16.6,1726,274,9.7,58.7,288,1440,4116,45,191,167,274,107,339,-26,36.4,15.2,799,321,60,105.54,612
4022150426,Rubus lasiococcus,44.281418,-122.145722,1553,7.8,16.6,1.6,15,2332,397,7.6,41.7,189,1569,3765,51,218,158,285,128,255,-22.9,37.2,16,819,233,61,163.7,660
4022073414,Rubus lasiococcus,44.281247,-122.143172,1578,7.7,16.5,1.5,15,2341,400,7.6,41.3,192,1553,3788,49,216,158,285,127,263,-23,37.1,16.1,817,231,61,164.88,650
4022069463,Rubus lasiococcus,44.28145,-122.146097,1553,7.8,16.6,1.6,15,2332,397,7.6,41.7,189,1569,3765,51,218,158,285,128,255,-22.9,37.2,16,819,233,61,163.71,659
4022052490,Rubus lasiococcus,44.278205,-122.14027,1438,8.2,17.1,1.9,15.2,2297,382,7.9,44.6,169,1683,3612,64,228,153,289,135,210,-22.1,37.7,15.9,835,244,61,157.74,732
4022032534,Rubus lasiococcus,44.228943,-121.876427,1450,6.7,15.6,-0.4,16,2364,364,7,42.7,280,1370,4160,36,187,169,273,104,452,-26.5,36.1,15.6,798,249,59,171,557
4021997536,Rubus lasiococcus,44.20535,-122.130552,1497,8.6,17.4,2.3,15.1,2289,382,8.1,45.6,153,1769,3493,74,235,153,288,135,178,-20.8,38.4,14,858,255,61,152.52,781
4021994502,Rubus lasiococcus,44.180133,-121.825722,1843,4.9,13.9,-2.1,16,2542,394,5.9,35.3,437,1044,4779,17,154,179,264,85,880,-29.5,34.1,15.7,698,201,59,198.46,371
4006710591,Rubus lasiococcus,47.386437,-121.388293,785,7.2,16.6,-1.3,17.9,2427,381,7.1,43.6,293,1566,3984,57,220,148,285,137,471,-25.5,36,13.3,706,209,66,185.6,688
3994288516,Rubus lasiococcus,49.140558,-120.804793,1781,3,13.1,-5.6,18.7,1193,231,10.9,56.6,778,869,5451,10,149,170,261,91,653,-34.7,32,14,507,200,65,80.26,274
3994271526,Rubus lasiococcus,49.140558,-120.804793,1781,3,13.1,-5.6,18.7,1193,231,10.9,56.6,778,869,5451,10,149,170,261,91,653,-34.7,32,14,507,200,65,80.26,274
3994170579,Rubus lasiococcus,49.140558,-120.804793,1781,3,13.1,-5.6,18.7,1193,231,10.9,56.6,778,869,5451,10,149,170,261,91,653,-34.7,32,14,507,200,65,80.26,274
3994110545,Rubus lasiococcus,49.137123,-120.796607,1646,3.5,13.7,-5.5,19.2,1118,220,12.1,62.1,730,964,5269,14,155,168,262,95,572,-34.4,32.8,13.9,531,230,65,69.1,330
3994069544,Rubus lasiococcus,42.037317,-122.079475,1285,9.4,19.7,0.4,19.3,537,102,36.1,193.2,190,2136,3320,181,216,147,278,131,50,-26,40.5,16.7,1033,697,54,-43.44,1084
3986213957,Rubus lasiococcus,49.073942,-120.767955,1673,3.6,13.8,-5.5,19.2,1126,209,12.1,65.9,720,989,5227,15,154,168,262,93,582,-34.4,33,13.9,545,253,64,67.97,346
3985738954,Rubus lasiococcus,49.074839,-120.768824,1702,3.5,13.7,-5.5,19.1,1139,211,11.9,64.6,728,970,5261,14,153,169,262,93,596,-34.4,32.8,14,540,248,64,69.97,334
