gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
891083071,Vaccinium parvifolium,47.637092,-122.295629,27,15.5,24,8.3,15.7,985,159,25.9,151.7,23,3833,1551,655,358,16,354,338,4,-5.5,41.6,11.8,878,467,71,8.62,2191
891080940,Vaccinium parvifolium,47.820661,-121.555109,171,14.3,23.5,6.1,17.4,2318,371,10.5,63.4,40,3461,1912,565,343,50,343,292,21,-10.2,42.1,13.2,909,310,68,138.6,1935
891076696,Vaccinium parvifolium,46.839714,-122.316025,284,14.2,23.5,6.7,16.8,1054,198,23,118.4,37,3431,1912,543,338,61,340,279,8,-10.7,42.8,12.1,963,487,65,5.07,1900
891074541,Vaccinium parvifolium,46.839876,-122.294284,511,13.6,22.8,6.1,16.7,1237,221,19.1,102.9,44,3226,2071,464,329,77,334,257,12,-12.3,42.3,12,950,455,64,24.61,1753
883389148,Vaccinium parvifolium,52.15,-128.116667,88,12.2,19.3,6.5,12.8,3329,861,6.7,22.4,43,2692,2301,207,347,40,347,307,28,-8.1,35.2,9.9,601,8,78,275.99,1276
623695929,Vaccinium parvifolium,47.431667,-121.761667,295,13.3,22.4,5.6,16.8,2177,405,10.7,55.5,48,3137,2140,429,334,66,338,272,24,-11.6,40.8,11.5,864,258,69,132.79,1688
465863013,Vaccinium parvifolium,49.5,-125.5,1382,7.6,17.3,0.4,16.9,4512,618,3.9,28.1,233,1594,3858,68,238,138,302,164,620,-22.6,35.1,13.9,622,81,72,399.42,714
465863012,Vaccinium parvifolium,49.5,-125.5,1382,7.6,17.3,0.4,16.9,4512,618,3.9,28.1,233,1594,3858,68,238,138,302,164,620,-22.6,35.1,13.9,622,81,72,399.42,714
465863010,Vaccinium parvifolium,49.5,-125.5,1382,7.6,17.3,0.4,16.9,4512,618,3.9,28.1,233,1594,3858,68,238,138,302,164,620,-22.6,35.1,13.9,622,81,72,399.42,714
465863008,Vaccinium parvifolium,49.5,-125.5,1382,7.6,17.3,0.4,16.9,4512,618,3.9,28.1,233,1594,3858,68,238,138,302,164,620,-22.6,35.1,13.9,622,81,72,399.42,714
465863007,Vaccinium parvifolium,50.965278,-118.369444,554,10.7,23.9,-2.3,26.2,1189,324,17.4,73.8,282,2797,3153,523,266,103,303,200,171,-24.9,42.6,-9999,801,316,69,37.01,1655
441858202,Vaccinium parvifolium,47.393554,-123.402209,620,12.8,21.6,5.6,16,3813,453,6,47.6,50,2939,2258,346,336,61,342,281,49,-11.8,39.7,11.7,774,223,73,306.35,1534
441858196,Vaccinium parvifolium,48.6129,-122.614,8,14.4,22,7.5,14.4,824,164,29.6,134.3,28,3426,1761,441,354,24,350,326,4,-7.6,39.6,-9999,811,419,72,1.76,1839
441858189,Vaccinium parvifolium,48.88402,-121.03805,502,12.6,24.3,2.5,21.9,1324,190,17.1,127.9,101,3082,2515,570,300,99,315,216,51,-17.5,44.4,12.2,926,504,65,34.37,1773
441858164,Vaccinium parvifolium,48.74791,-122.84196,8,14.4,22.3,7.8,14.5,890,162,27.5,137.5,27,3451,1751,459,356,17,352,335,4,-6.2,39.9,-9999,787,404,73,11.16,1857
441858157,Vaccinium parvifolium,46.212547,-123.11861,168,14.1,22.5,6.7,15.8,1756,238,13.7,94.8,35,3357,1899,459,340,57,341,284,13,-10.3,42.3,11.9,952,428,65,80,1823
441858133,Vaccinium parvifolium,48.207778,-122.173611,88,14.7,23,7.5,15.5,1284,271,19.2,84.8,28,3544,1735,528,352,29,349,320,6,-7.9,41.1,12,862,338,70,40.44,1950
441857915,Vaccinium parvifolium,47.60639,-122.33083,64,15.4,23.9,8.2,15.7,972,152,26.1,157.2,24,3779,1588,634,357,18,354,336,4,-5.9,41.5,11.8,874,471,71,7.86,2147
441857914,Vaccinium parvifolium,47.60639,-122.33083,64,15.4,23.9,8.2,15.7,972,152,26.1,157.2,24,3779,1588,634,357,18,354,336,4,-5.9,41.5,11.8,874,471,71,7.86,2147
441857913,Vaccinium parvifolium,47.60639,-122.33083,64,15.4,23.9,8.2,15.7,972,152,26.1,157.2,24,3779,1588,634,357,18,354,336,4,-5.9,41.5,11.8,874,471,71,7.86,2147
441857912,Vaccinium parvifolium,47.60639,-122.33083,64,15.4,23.9,8.2,15.7,972,152,26.1,157.2,24,3779,1588,634,357,18,354,336,4,-5.9,41.5,11.8,874,471,71,7.86,2147
441857910,Vaccinium parvifolium,48.07861,-121.56583,473,12.6,22.6,3.7,18.9,3417,617,6.6,36.6,78,2978,2412,434,317,83,327,243,79,-15,40,13.6,836,190,69,260.32,1639
441857887,Vaccinium parvifolium,46.85163,-121.76092,4375,-4.5,7.3,-12.1,19.4,3137,379,1.8,19.2,2300,208,8185,0,83,138,264,126,2856,-42.8,23.2,16.8,147,48,74,301.5,18
441857886,Vaccinium parvifolium,48.09472,-123.80583,186,13.1,20.9,6.9,13.9,1572,182,14.7,114.3,37,3008,2088,309,347,38,346,308,13,-8.4,39,11.3,761,354,73,85.07,1522
441857885,Vaccinium parvifolium,47.99538,-123.46784,915,10,19,3.1,16,2249,217,8.9,87.7,110,2143,3051,148,288,116,318,202,106,-17.3,36.9,12.4,707,286,71,162.25,1029
441857857,Vaccinium parvifolium,48.05194,-122.17583,7,15.1,23.2,8.1,15.2,1038,222,24.2,104.6,24,3688,1614,571,356,22,351,330,4,-6.5,40.9,11.8,863,382,70,15.76,2062
441857852,Vaccinium parvifolium,48.071272,-124.291322,124,13.4,21.1,7.1,13.9,2835,374,8.3,56.3,35,3113,1996,335,347,39,347,308,20,-8.2,40,11,807,248,71,205.27,1602
441857851,Vaccinium parvifolium,47.32944,-121.37167,793,10.4,21.4,1.3,20.1,2061,280,9.9,76.4,145,2411,3045,296,270,127,305,179,144,-20.6,40.7,13.8,841,340,66,126.69,1293
441857849,Vaccinium parvifolium,47.68167,-122.2075,51,15.3,24,8,16,1062,182,23.8,131.5,25,3759,1615,636,356,22,353,330,5,-6.3,41.8,11.8,888,449,70,15.03,2135
441857848,Vaccinium parvifolium,47.60639,-122.33083,64,15.4,23.9,8.2,15.7,972,152,26.1,157.2,24,3779,1588,634,357,18,354,336,4,-5.9,41.5,11.8,874,471,71,7.86,2147
441857847,Vaccinium parvifolium,47.60639,-122.33083,64,15.4,23.9,8.2,15.7,972,152,26.1,157.2,24,3779,1588,634,357,18,354,336,4,-5.9,41.5,11.8,874,471,71,7.86,2147
441857482,Vaccinium parvifolium,47.03806,-122.89944,26,14.6,23.4,7.3,16.1,1317,183,18.7,128.2,31,3551,1780,562,346,46,345,299,8,-8.7,42.6,12,952,492,66,34.47,1973
441857410,Vaccinium parvifolium,46.394667,-123.884233,49,13.8,20.6,7.8,12.8,2309,328,10.3,63,28,3209,1857,317,349,35,348,313,12,-8,39,11.5,826,240,70,152.45,1652
441857382,Vaccinium parvifolium,47.43615,-121.778783,652,12.1,21.3,4.4,16.9,2770,516,8,41.3,68,2778,2466,325,321,84,331,247,53,-13.6,39.4,11.6,810,191,70,199.46,1451
441857381,Vaccinium parvifolium,47.433467,-121.76155,305,13.3,22.4,5.6,16.8,2177,404,10.7,55.5,48,3135,2141,428,334,66,338,272,24,-11.6,40.7,11.5,864,258,69,132.66,1687
441857340,Vaccinium parvifolium,47.25306,-122.44306,60,15.2,23.9,7.8,16,1033,164,24.4,145.3,26,3715,1653,622,353,30,350,320,5,-7.4,42,11.7,918,492,69,9.06,2103
441857338,Vaccinium parvifolium,47.57278,-122.70306,48,15.1,23.8,7.9,15.9,1425,177,17.6,134.6,26,3703,1649,610,354,26,352,326,7,-6.8,42.2,11.8,891,453,70,51.37,2089
441857337,Vaccinium parvifolium,47.54056,-122.09806,442,13.7,23,5.7,17.4,1744,331,13.6,69.4,46,3257,2068,486,339,57,342,285,18,-11,41.4,11.7,873,309,69,86.06,1790
441857333,Vaccinium parvifolium,47.291111,-123.982778,104,13.4,20.9,7.1,13.8,3110,451,7.5,46.4,34,3112,1990,324,343,51,344,293,22,-9.4,39.9,11.3,843,227,69,229.49,1599
441857331,Vaccinium parvifolium,46.195516,-123.126229,10,14.5,22.6,7.5,15.1,1415,192,17.3,117.7,29,3485,1760,484,346,46,344,298,8,-9.2,42.1,11.7,949,464,65,46.5,1901
441857226,Vaccinium parvifolium,48.695517,-121.124317,841,11.2,22.4,1.7,20.7,2277,297,9.3,75.6,129,2629,2860,372,286,110,312,202,130,-18.9,41.3,11.7,824,330,68,146.29,1443
415707329,Vaccinium parvifolium,48.6129,-122.614,8,14.4,22,7.5,14.4,824,164,29.6,134.3,28,3426,1761,441,354,24,350,326,4,-7.6,39.6,-9999,811,419,72,1.76,1839
4029303342,Vaccinium parvifolium,49.079529,-125.746133,10,13.3,20,8,12,3602,614,6.5,32.5,29,3034,1966,260,354,20,352,332,19,-6.4,37,11.4,670,54,77,296.75,1497
4029212524,Vaccinium parvifolium,48.548595,-123.492227,143,13.8,22.4,7.1,15.3,1114,137,21.3,163.4,36,3251,1969,432,351,28,348,319,9,-7.4,39.9,11.7,779,432,74,35.62,1731
4029199583,Vaccinium parvifolium,53.929083,-132.073155,61,11.1,18.6,5.1,13.5,1757,415,12,44.9,60,2361,2634,151,336,56,339,283,25,-11.3,35.9,10,535,74,79,125.52,1070
4029197763,Vaccinium parvifolium,48.363505,-123.534973,19,14.1,21.6,8.2,13.4,1019,126,23.7,171.5,27,3333,1796,393,357,13,353,340,5,-5.2,39.2,11.9,758,416,75,28.66,1749
4029190184,Vaccinium parvifolium,51.683655,-128.123688,14,12.2,18.4,7.1,11.3,3149,736,7,25,37,2653,2268,160,354,20,352,332,23,-6.6,34.2,-9999,531,8,82,265.16,1204
4029183994,Vaccinium parvifolium,51.662109,-128.098312,5,12.2,18.6,7.1,11.5,3147,734,7.1,25.3,37,2677,2254,169,353,21,352,331,23,-6.6,34.4,10.3,541,11,82,264.05,1227
4029165208,Vaccinium parvifolium,51.664295,-128.098343,0,12.3,18.6,7.1,11.4,3126,730,7.1,25.4,37,2680,2250,169,354,20,352,332,22,-6.5,34.4,10.3,540,11,82,262.01,1228
4029135024,Vaccinium parvifolium,49.325783,-124.270158,4,14,23,6.9,16.1,1078,168,22.3,136.9,36,3347,1943,504,349,33,343,310,8,-8.1,40,-9999,771,399,74,32.25,1820
4029130556,Vaccinium parvifolium,48.478392,-123.462976,51,14.3,22.2,8,14.2,993,125,24.4,177.7,28,3389,1800,439,356,17,351,335,6,-5.6,39.8,11.7,784,446,74,22.5,1809
4029107534,Vaccinium parvifolium,48.608003,-123.444428,192,13.7,22.3,7.1,15.2,1055,133,22.5,167.3,35,3238,1975,425,352,25,349,324,8,-6.9,39.9,11.8,768,436,75,30.72,1718
4029052078,Vaccinium parvifolium,48.528774,-123.456388,108,14,22.3,7.4,14.9,1063,132,22.6,169.1,32,3314,1897,439,353,24,349,325,7,-6.7,39.8,11.9,783,440,74,29.73,1767
4029048012,Vaccinium parvifolium,47.506112,-123.820672,70,14,22,7.4,14.6,3475,497,6.9,44.3,32,3315,1879,425,347,43,348,304,22,-8.3,40.8,11.5,882,240,68,259.91,1771
4029047776,Vaccinium parvifolium,48.615667,-123.447547,220,13.7,22.3,7,15.3,1051,133,22.5,167.1,36,3210,1999,418,352,25,349,324,9,-6.9,39.9,11.9,762,432,75,31.07,1699
4029015722,Vaccinium parvifolium,49.285183,-121.774544,19,14.8,24.6,5.9,18.8,1892,357,13.1,69,41,3667,1819,681,349,32,344,312,17,-9.4,42.6,13.4,837,264,72,103.42,2126
4029009779,Vaccinium parvifolium,49.225728,-122.289505,259,13.6,23.1,5.5,17.7,2611,474,9,48.8,49,3246,2085,492,342,44,341,297,30,-10.8,41,11.8,772,184,74,184.86,1780
4029009639,Vaccinium parvifolium,49.261396,-123.216093,93,14.6,23.6,7,16.6,1421,246,17.3,95.9,33,3545,1797,572,354,21,348,327,9,-7.4,40.3,11.4,763,298,75,65.77,1978
4028998923,Vaccinium parvifolium,50.158479,-122.914815,680,10.7,21.7,0.7,21,1476,272,14,79.8,163,2550,2975,339,282,106,308,202,106,-20.5,40.6,11.4,784,322,69,70.89,1398
4028994682,Vaccinium parvifolium,49.211571,-122.525635,72,14.2,23.6,6.1,17.5,1815,347,13.3,67.8,41,3429,1929,552,347,36,343,308,16,-9.4,41.6,11.7,805,254,73,100.81,1906
4028985712,Vaccinium parvifolium,49.210983,-122.525253,49,14.3,23.6,6.2,17.4,1753,335,13.9,70.5,40,3456,1907,562,348,35,344,309,15,-9.3,41.6,11.7,810,262,73,94.08,1925
4028975073,Vaccinium parvifolium,44.732718,-123.84176,49,14.5,21.4,8.3,13.2,1901,245,12.9,87.5,25,3453,1696,405,350,36,350,314,9,-7.5,40.8,12.9,944,390,67,98.38,1852
4028973962,Vaccinium parvifolium,48.460525,-123.30497,61,14.2,22.2,7.9,14.3,885,120,27.4,184.7,29,3379,1813,439,356,18,351,333,5,-5.8,39.7,11.8,784,457,74,11.75,1802
4028951635,Vaccinium parvifolium,48.61367,-123.447212,234,13.6,22.3,7,15.3,1056,134,22.4,166.7,37,3197,2012,414,352,25,349,324,9,-7,39.9,11.9,760,430,75,31.88,1690
4028947392,Vaccinium parvifolium,49.210327,-122.524864,49,14.3,23.6,6.2,17.4,1751,335,13.9,70.5,40,3456,1908,562,348,35,344,309,15,-9.3,41.6,11.7,809,263,73,93.94,1925
4028917589,Vaccinium parvifolium,49.316133,-122.983102,110,14.6,23.8,6.8,17,1881,333,13.1,71.6,34,3555,1810,590,353,22,348,326,13,-7.7,40.8,11.7,771,242,75,110.58,1995
4028909642,Vaccinium parvifolium,49.263638,-122.573218,151,14,23.4,5.9,17.5,2006,385,12,60.9,44,3363,1984,530,345,39,342,304,19,-9.9,41.4,12,793,230,73,121.4,1859
4028907998,Vaccinium parvifolium,49.275975,-122.918525,312,13.7,23.1,6,17,2031,362,11.7,63.8,43,3273,2033,489,347,33,344,311,20,-9.2,40.1,12.2,742,217,76,129.79,1785
4028907201,Vaccinium parvifolium,47.861387,-123.934354,178,13.2,21.5,6.4,15.1,3876,523,6,41.1,41,3071,2104,366,339,59,344,285,37,-10.1,40.7,9.2,845,228,69,304.53,1612
4028906587,Vaccinium parvifolium,47.536073,-122.099698,401,13.8,23.1,5.8,17.2,1671,313,14.2,73.7,44,3288,2037,495,341,54,343,289,16,-10.6,41.4,11.7,872,321,70,78.99,1808
4028889281,Vaccinium parvifolium,49.277413,-125.028135,90,13.4,23.3,5.4,17.9,2666,322,8.8,72.2,52,3199,2155,500,338,54,338,283,36,-10.6,42,11.8,829,314,71,184.46,1763
4028886176,Vaccinium parvifolium,49.016846,-122.647339,59,14.2,23,6.5,16.5,1502,278,16.1,82.6,37,3403,1894,508,348,34,344,310,11,-9.1,40.7,11.7,804,302,72,69.92,1865
4028885759,Vaccinium parvifolium,47.309196,-122.180087,134,14.9,23.7,7.6,16.1,1202,210,20.7,112.9,28,3647,1706,598,352,32,349,317,6,-7.7,41.7,11.8,906,431,69,27.34,2047
4028879975,Vaccinium parvifolium,48.547206,-123.478967,133,13.9,22.4,7.2,15.2,1098,135,21.7,165.1,35,3271,1947,434,352,27,348,321,9,-7.2,39.9,12,780,435,74,33.71,1743
