gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
811880141,Rubus lasiococcus,45.37361,-121.69444,3347,1.3,12.1,-5.4,17.4,3574,509,3.2,23.7,1026,655,6080,6,150,171,289,118,2368,-30.2,27.2,15,282,24,82,337.21,181
441828819,Rubus lasiococcus,47.07017,-121.06326,1802,6.2,15.9,-1.7,17.6,1890,260,8.6,61.1,354,1347,4338,42,195,161,287,126,499,-27.1,34.7,15.7,673,247,65,132.93,570
441828784,Rubus lasiococcus,47.980822,-120.737187,1500,7.4,18.2,-1.9,20.1,1643,171,10.6,106.4,334,1705,3970,103,208,149,287,138,411,-27.5,36.8,14.3,735,389,64,98.14,824
441828657,Rubus lasiococcus,47.27694,-121.3375,1198,8.2,18,-0.3,18.3,2357,339,7.7,53.1,228,1787,3678,101,245,136,297,161,326,-23.1,36.6,13.9,713,235,69,174.32,844
441828554,Rubus lasiococcus,48.06611,-121.50778,1067,9.2,18.7,1,17.7,4108,704,4.7,26.6,168,2016,3329,133,264,127,304,177,327,-21,36.3,14,735,101,69,345.82,971
441828302,Rubus lasiococcus,47.98167,-123.60139,174,11.9,19.6,5.3,14.3,1693,180,12.9,108.5,57,2638,2440,211,329,69,333,264,28,-12.1,38.2,11.5,776,373,71,98.74,1285
441828294,Rubus lasiococcus,47.744438,-121.090111,1524.5,6.8,16.9,-1.5,18.3,2311,327,7.3,51.6,315,1491,4122,60,215,149,290,140,494,-26,34.9,13.9,660,219,68,176.03,663
441828198,Rubus lasiococcus,46.85163,-121.76092,4380,-6.1,4.8,-13.4,18.2,3087,397,1.3,12.2,2645,108,8762,0,60,114,250,136,2868,-44.6,20.6,16.9,126,20,75,301.12,6
441828195,Rubus lasiococcus,48.105535,-120.737582,1220,8.1,19.5,-2,21.5,1407,129,12.8,150.7,324,1932,3770,166,224,134,292,158,341,-27.4,37.7,14.6,746,443,65,73.05,990
441828194,Rubus lasiococcus,47.99538,-123.46784,1896,5.1,14.3,-2.2,16.5,2471,252,6.1,56.6,420,1093,4700,19,189,164,291,127,846,-27.8,31.8,15.9,496,182,70,206.03,400
441828193,Rubus lasiococcus,47.71167,-121.15444,640,9.4,19.2,0.5,18.7,2179,350,8.9,54.9,174,2091,3295,160,263,128,301,173,191,-21.8,37.9,12.9,780,255,67,149.84,1035
441828187,Rubus lasiococcus,47.52205,-123.26061,1677,6.4,15.1,-0.3,15.3,2950,404,5.6,37.3,272,1275,4232,29,223,152,295,143,532,-23.5,32.6,16.2,583,119,73,249.96,495
441828110,Rubus lasiococcus,45.94957,-121.72064,979,9.8,19.6,1.5,18.1,1899,227,10.4,86.2,145,2177,3153,176,274,120,309,190,135,-20.1,38.4,14.8,792,344,69,120.2,1086
441828102,Rubus lasiococcus,47.366667,-121.551389,1128,9,17.9,1,16.9,2848,470,6.7,38.2,165,1931,3372,104,268,129,306,177,233,-20.3,36.1,11.7,726,159,70,221.76,898
441828097,Rubus lasiococcus,47.348833,-121.501433,1497,8.3,17.3,0.6,16.8,3080,518,5.9,33.4,191,1741,3609,78,259,134,304,170,314,-21.3,35.3,12.7,684,125,72,249.73,781
441828088,Rubus lasiococcus,47.32,-121.593056,1098,8.9,17.6,1.1,16.6,2790,458,6.8,38.5,166,1890,3410,93,268,130,307,177,231,-20.3,35.6,12.3,714,157,71,218.02,866
441828087,Rubus lasiococcus,47.32,-121.593056,1098,8.9,17.6,1.1,16.6,2790,458,6.8,38.5,166,1890,3410,93,268,130,307,177,231,-20.3,35.6,12.3,714,157,71,218.02,866
441828080,Rubus lasiococcus,47.29615,-121.534167,1113,8.8,17.8,0.9,17,2730,436,6.9,40.9,173,1894,3431,99,264,132,305,173,243,-20.7,36.3,13.2,727,180,70,210.32,877
441827949,Rubus lasiococcus,48.063294,-121.513675,991,9.4,18.9,1.1,17.8,4072,706,4.8,26.7,163,2065,3277,144,267,124,305,181,307,-20.8,36.4,14,740,102,69,341.8,1003
441827948,Rubus lasiococcus,46.19893,-122.18888,1875,5.8,15.6,-1,16.6,4462,611,3.5,25.5,350,1214,4464,30,216,149,289,140,1206,-23.7,32.7,13.8,553,77,75,404.51,485
441827946,Rubus lasiococcus,47.56,-123.42528,1220,8.6,16.8,2,14.8,3871,539,4.8,31.2,140,1738,3464,64,272,125,310,185,259,-19.6,34.3,11.3,634,100,74,334.8,742
441827945,Rubus lasiococcus,47.46722,-121.45472,1220,8.4,17.5,0.7,16.8,3340,595,5.5,29.4,185,1766,3582,85,263,130,304,174,322,-20.8,35.3,13.2,677,107,73,277.76,803
441827943,Rubus lasiococcus,47.93333,-123.40833,1524,6.8,15.5,-0.1,15.5,1903,201,8.8,77.1,252,1350,4127,36,229,146,297,151,336,-23.5,33,13.2,582,224,73,144.59,540
4022272624,Rubus lasiococcus,43.64247,-122.035773,1477,8.4,18,0.8,17.3,1748,284,10.5,63.6,197,1811,3597,103,221,156,287,131,194,-23.4,37.5,15.4,880,343,60,97.26,854
4022251381,Rubus lasiococcus,43.781739,-122.045997,1649,7.2,16.5,-0.1,16.6,1824,282,9.4,58.5,253,1499,3996,54,200,166,280,114,303,-25.3,36.2,16.1,805,303,61,114.62,647
4022200662,Rubus lasiococcus,46.869818,-121.519426,1628,6.4,16,-1.4,17.4,1992,245,8.2,65.3,322,1369,4257,43,203,159,289,130,480,-26.4,34.4,14.9,660,251,67,145.64,577
4022161491,Rubus lasiococcus,43.639137,-122.041573,1483,8.4,18.1,0.8,17.3,1753,280,10.5,64.5,197,1816,3592,104,221,156,287,131,195,-23.4,37.6,15.2,881,349,60,97.48,858
4022150426,Rubus lasiococcus,44.281418,-122.145722,1553,9.3,18.5,2.8,15.7,2368,396,8.2,46.7,128,1972,3260,115,249,146,299,153,140,-20.3,38.7,16,870,258,62,156.52,924
4022073414,Rubus lasiococcus,44.281247,-122.143172,1578,9.3,18.4,2.8,15.7,2378,399,8.1,46.2,130,1953,3281,112,247,147,299,152,144,-20.4,38.6,16.1,867,256,62,157.72,912
4022069463,Rubus lasiococcus,44.28145,-122.146097,1553,9.3,18.5,2.8,15.7,2368,397,8.2,46.7,128,1971,3260,115,248,146,299,153,140,-20.3,38.7,16,869,258,62,156.54,923
4022052490,Rubus lasiococcus,44.278205,-122.14027,1438,9.8,19,3.2,15.8,2334,383,8.5,49.7,114,2096,3118,140,258,141,302,161,114,-19.4,39.2,16,885,269,62,150.51,1004
4022032534,Rubus lasiococcus,44.228943,-121.876427,1450,8.3,17.5,0.8,16.7,2407,367,7.6,47.7,191,1748,3625,85,218,158,286,128,261,-24,37.5,15.6,866,273,60,164.56,799
4021997536,Rubus lasiococcus,44.20535,-122.130552,1497,10.2,19.4,3.6,15.8,2327,384,8.7,50.4,103,2192,3002,158,266,139,303,164,96,-18.1,39.8,14.1,909,278,62,145.18,1062
4021994502,Rubus lasiococcus,44.180133,-121.825722,1843,6.5,15.9,-0.8,16.8,2590,399,6.4,40,305,1368,4230,42,184,169,277,108,566,-27,35.5,15.7,783,222,60,193.6,573
4006710591,Rubus lasiococcus,47.386437,-121.388293,785,8.9,18.7,0.2,18.6,2506,375,7.5,50,197,1970,3450,136,251,135,298,163,274,-22.5,37.8,13.4,774,242,67,183.8,963
3994288516,Rubus lasiococcus,49.140558,-120.804793,1781,4.8,15.3,-3.9,19.2,1255,229,11.8,66.6,560,1174,4824,29,175,158,274,115,512,-31.5,33.9,14,548,235,66,77.75,468
3994271526,Rubus lasiococcus,49.140558,-120.804793,1781,4.8,15.3,-3.9,19.2,1255,229,11.8,66.6,560,1174,4824,29,175,158,274,115,512,-31.5,33.9,14,548,235,66,77.75,468
3994170579,Rubus lasiococcus,49.140558,-120.804793,1781,4.8,15.3,-3.9,19.2,1255,229,11.8,66.6,560,1174,4824,29,175,158,274,115,512,-31.5,33.9,14,548,235,66,77.75,468
3994110545,Rubus lasiococcus,49.137123,-120.796607,1646,5.3,15.9,-3.8,19.7,1175,218,13,72.6,524,1284,4654,37,181,155,274,119,439,-31.2,34.7,13.9,606,266,65,66.2,539
