gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
811880141,Rubus lasiococcus,45.37361,-121.69444,3347,2.9,14.6,-4.3,18.9,3600,480,3.6,30.3,819,929,5511,19,169,167,298,130,2104,-27.9,29.8,14.9,319,51,81,333.53,363
441828819,Rubus lasiococcus,47.07017,-121.06326,1802,7.8,18.5,-0.4,18.9,1925,247,9.2,74.7,258,1739,3822,117,218,154,297,143,333,-24.6,37.3,15.6,738,304,65,125.09,853
441828784,Rubus lasiococcus,47.980822,-120.737187,1500,9,20.6,-0.6,21.2,1679,163,11.3,126.1,241,2123,3500,238,233,140,296,156,272,-24.9,39.5,14.1,791,442,64,89.04,1134
441828657,Rubus lasiococcus,47.27694,-121.3375,1198,9.7,20.4,1,19.4,2399,324,8.2,63,164,2213,3226,231,269,126,308,182,204,-20.5,39.1,13.8,779,285,69,167.43,1154
441828554,Rubus lasiococcus,48.06611,-121.50778,1067,10.8,21.1,2.3,18.7,4169,677,5,31.1,118,2462,2899,284,288,114,315,201,194,-18.2,38.7,13.9,789,166,69,340.94,1294
441828302,Rubus lasiococcus,47.98167,-123.60139,174,13.3,21.7,6.5,15.1,1728,173,13.5,125.4,41,3096,2084,373,343,48,344,297,17,-9.3,40.2,11.5,820,414,71,93.27,1622
441828294,Rubus lasiococcus,47.744438,-121.090111,1524.5,8.4,19.3,-0.2,19.5,2354,315,7.8,61.4,227,1895,3630,156,239,141,300,159,319,-23.4,37.5,13.8,723,267,68,169.39,951
441828198,Rubus lasiococcus,46.85163,-121.76092,4380,-4.5,7.3,-12.1,19.4,3137,379,1.8,19.2,2305,207,8193,0,83,138,264,126,2857,-42.8,23.1,16.8,147,48,74,301.59,18
441828195,Rubus lasiococcus,48.105535,-120.737582,1220,9.7,21.9,-0.6,22.6,1440,124,13.7,176.7,234,2360,3335,325,247,126,301,175,228,-24.7,40.5,14.4,802,493,65,63.9,1312
441828194,Rubus lasiococcus,47.99538,-123.46784,1896,6.5,16.4,-0.9,17.3,2524,242,6.6,67.6,312,1406,4213,49,210,157,299,142,609,-25.5,34,15.8,595,218,70,203.63,607
441828193,Rubus lasiococcus,47.71167,-121.15444,640,11,21.6,1.8,19.8,2219,337,9.5,64.1,124,2540,2882,323,286,115,313,197,116,-19.2,40.5,12.8,837,307,67,142.59,1366
441828187,Rubus lasiococcus,47.52205,-123.26061,1677,7.9,17.1,1,16.1,2995,386,6,44.4,199,1626,3754,69,247,143,304,161,345,-21.1,34.8,16.2,636,165,73,246.55,725
441828110,Rubus lasiococcus,45.94957,-121.72064,979,11.4,22.1,2.7,19.3,1921,216,11.1,102.2,104,2637,2764,346,295,107,320,212,83,-17.6,41,14.7,849,400,68,111.02,1425
441828102,Rubus lasiococcus,47.366667,-121.551389,1128,10.6,20.3,2.3,18,2890,448,7.1,45.4,118,2372,2942,238,291,116,317,201,141,-17.6,38.6,11.7,780,217,70,215.42,1218
441828097,Rubus lasiococcus,47.348833,-121.501433,1497,9.9,19.7,1.9,17.9,3125,495,6.4,39.9,136,2173,3143,189,282,122,315,193,191,-18.6,37.8,12.7,737,183,72,243.47,1087
441828088,Rubus lasiococcus,47.32,-121.593056,1098,10.4,20,2.3,17.7,2831,437,7.2,45.9,119,2330,2967,219,291,116,318,201,140,-17.6,38.1,12.3,768,213,71,211.86,1184
441828087,Rubus lasiococcus,47.32,-121.593056,1098,10.4,20,2.3,17.7,2831,437,7.2,45.9,119,2330,2967,219,291,116,318,201,140,-17.6,38.1,12.3,768,213,71,211.86,1184
441828080,Rubus lasiococcus,47.29615,-121.534167,1113,10.4,20.3,2.2,18.1,2772,417,7.4,48.6,124,2333,2990,229,288,119,316,197,148,-18,38.8,13.1,782,236,70,203.95,1196
441827949,Rubus lasiococcus,48.063294,-121.513675,991,11,21.2,2.4,18.8,4133,679,5.1,31.3,115,2516,2852,299,290,111,316,205,182,-18.1,38.8,13.9,794,167,69,336.88,1330
441827948,Rubus lasiococcus,46.19893,-122.18888,1875,7.3,17.9,0.2,17.7,4502,580,3.8,30.9,258,1581,3961,80,239,141,300,159,821,-21.4,35.2,13.8,619,121,75,400.14,731
441827946,Rubus lasiococcus,47.56,-123.42528,1220,10,18.9,3.3,15.6,3937,518,5.1,36.5,101,2130,3028,141,294,112,320,209,158,-17.2,36.4,11.3,675,148,74,333.2,1006
441827945,Rubus lasiococcus,47.46722,-121.45472,1220,10,19.9,2,17.9,3389,568,5.9,35.1,132,2199,3120,202,286,117,315,198,195,-18.1,37.8,13.1,730,160,72,272.22,1109
441827943,Rubus lasiococcus,47.93333,-123.40833,1524,8.2,17.6,1.2,16.4,1941,192,9.4,91.5,183,1705,3650,86,253,137,307,169,215,-21,35.2,13.2,635,263,73,140.44,782
4022272624,Rubus lasiococcus,43.64247,-122.035773,1477,10,20.4,2.1,18.2,1756,268,11.4,75.8,140,2252,3134,233,247,147,300,153,117,-20.8,39.8,15.3,943,406,60,84.85,1174
4022251381,Rubus lasiococcus,43.781739,-122.045997,1649,8.8,18.9,1.2,17.7,1833,267,10.2,70.9,181,1916,3493,139,226,158,294,136,187,-22.8,38.4,16,884,364,61,102.7,941
4022200662,Rubus lasiococcus,46.869818,-121.519426,1628,8,18.5,-0.1,18.6,2026,233,8.9,79.4,235,1762,3748,116,227,152,299,147,315,-24,36.9,14.8,724,305,67,138.26,858
4022161491,Rubus lasiococcus,43.639137,-122.041573,1483,10,20.4,2.1,18.2,1762,265,11.4,76.8,140,2257,3130,235,247,147,300,153,117,-20.9,39.9,15.1,945,409,60,85.07,1178
4022150426,Rubus lasiococcus,44.281418,-122.145722,1553,10.9,20.9,4.1,16.7,2371,375,8.8,55.7,91,2425,2832,252,273,135,312,177,82,-17.7,41.1,16,930,310,62,143.7,1248
4022073414,Rubus lasiococcus,44.281247,-122.143172,1578,10.8,20.8,4.1,16.7,2380,377,8.8,55.2,92,2405,2850,246,272,136,311,176,85,-17.8,41,16.1,928,308,62,144.87,1235
4022069463,Rubus lasiococcus,44.28145,-122.146097,1553,10.9,20.9,4.1,16.7,2371,375,8.8,55.7,91,2425,2832,252,273,135,312,177,83,-17.7,41,16,930,310,62,143.71,1247
4022052490,Rubus lasiococcus,44.278205,-122.14027,1438,11.4,21.4,4.5,16.9,2337,362,9.1,59.2,81,2560,2707,291,282,129,315,186,67,-16.9,41.6,15.9,946,326,62,137.76,1337
