gbifID,species,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
4018451480,Rubus nivalis,48.630467,-122.390525,377,11.1,19.1,3.9,15.3,1653,356,12.8,53.7,77,2440,2671,177,308,93,319,226,37,-16,37.4,12.2,764,203,69,95.54,1168
3988623669,Rubus nivalis,48.032892,-123.419084,591,9.6,17.3,3.2,14.1,1646,213,11.9,81.4,108,1978,3135,80,291,110,315,205,72,-17.2,35.4,12.2,689,273,72,106.89,864
3985775993,Rubus nivalis,43.64643,-122.659692,654,12.6,21.6,5.2,16.3,1589,225,14.2,95.6,58,2907,2336,351,310,103,325,223,26,-14.8,41.5,14,993,466,62,62.85,1538
3985692071,Rubus nivalis,43.647226,-122.663534,663,12.5,21.5,5.2,16.4,1586,226,14.2,95.4,59,2896,2345,348,309,103,325,222,26,-14.8,41.4,14.1,991,465,62,62.87,1531
3968371429,Rubus nivalis,44.2333,-122.175,761,12,21.1,4.5,16.7,2030,268,10.8,79,70,2750,2494,311,297,110,314,204,45,-16.3,41.8,13.8,995,433,61,105.16,1437
3968371368,Rubus nivalis,44.2333,-122.175,884,11.7,20.8,4.3,16.4,2072,286,10.5,72.7,75,2638,2586,275,292,115,313,198,51,-16.7,41.4,14,974,400,61,112.21,1358
3961466571,Rubus nivalis,45.70395,-123.343972,367,11,19.3,3.7,15.6,1837,190,11.5,101.5,84,2427,2722,178,303,103,321,218,57,-16,39.2,13.1,850,416,67,108.93,1182
3961450508,Rubus nivalis,47.82848,-123.04428,770,9,16.9,2.5,14.4,1832,263,10.4,64.1,120,1813,3328,66,281,117,312,195,95,-19.3,34.3,11.4,635,182,74,131.86,766
3961446602,Rubus nivalis,46.392108,-121.989778,722,9.6,18.5,2.4,16.1,2098,308,9.4,60.1,126,2056,3164,122,274,125,307,182,117,-19.1,37.8,13.4,780,256,68,143.08,968
3961410348,Rubus nivalis,43.017567,-122.720733,847,12.9,22.4,5,17.4,1054,144,21.7,155.9,61,3028,2309,427,297,112,315,203,19,-16.1,43.1,14.7,1100,638,57,-8.84,1656
3961390532,Rubus nivalis,44.499817,-123.568908,747,11.9,20,5.1,14.9,2873,269,7.6,74.4,59,2663,2454,231,325,79,336,257,51,-13.5,38.7,15.2,833,315,70,211.78,1322
3961371510,Rubus nivalis,43.764763,-122.632554,1331,11.5,20.7,4.3,16.4,1670,250,12.9,82.9,77,2583,2650,272,295,118,321,203,44,-16.8,39.9,16.6,907,383,65,79.47,1337
3961332644,Rubus nivalis,46.729615,-121.802964,1149,8.2,17.4,0.5,16.9,2238,372,8.2,46.8,200,1756,3625,80,240,143,296,153,246,-22.9,36.4,13.2,752,212,66,160.23,798
3961246534,Rubus nivalis,48.033567,-123.445847,843,8.7,16.7,2,14.7,2104,247,8.9,67.7,144,1764,3440,61,267,127,307,180,147,-20,34.7,12.2,672,238,71,154.96,750
3961245419,Rubus nivalis,43.764747,-122.632622,1331,11.5,20.7,4.3,16.4,1670,250,12.9,82.9,77,2583,2650,272,295,118,321,203,44,-16.8,39.9,16.6,907,383,65,79.46,1337
3961244519,Rubus nivalis,48.031345,-123.4365,739,9,16.9,2.5,14.4,1891,228,10.1,74.2,128,1845,3320,67,277,120,310,190,110,-18.8,34.9,12.3,677,253,71,132.97,792
3961215514,Rubus nivalis,44.226677,-122.126107,1000,10.8,19.8,3.7,16.1,2155,319,9.6,62.3,92,2372,2831,198,278,127,306,179,74,-17.9,40.5,14.6,935,340,62,127.28,1180
3961145238,Rubus nivalis,47.488802,-121.688036,415,10.8,19,3.5,15.5,2306,459,9,41.4,89,2371,2774,164,304,101,319,217,66,-15.9,37.5,13.6,786,176,69,160.9,1142
3961135331,Rubus nivalis,47.614444,-123.163889,590,10.3,18.5,3.2,15.3,2507,345,8.1,53.7,93,2201,2922,130,298,105,320,215,85,-17.5,36.8,12.7,717,201,71,188.6,1026
3961134467,Rubus nivalis,44.49947,-123.567933,733,11.9,20,5.2,14.9,2850,268,7.7,74.8,59,2667,2451,232,325,79,336,256,50,-13.5,38.8,15.2,836,318,70,209.26,1325
3961114458,Rubus nivalis,47.020867,-123.096642,394,11.6,19.9,4.1,15.8,2529,325,8.5,61.2,73,2582,2567,218,311,94,325,231,59,-15.6,39.2,11.8,827,288,68,177.26,1284
3961023584,Rubus nivalis,49.431228,-123.527038,510,10.1,18.4,3.1,15.2,2060,399,9.8,46,103,2153,2987,122,308,83,321,237,74,-15.7,35.6,12.2,627,127,77,152.72,997
3961015521,Rubus nivalis,43.823333,-122.724563,750,12.7,21.5,5.3,16.2,1518,234,15,92.2,55,2951,2280,355,320,90,333,243,22,-14,40.9,14.4,950,428,65,60.41,1562
3960991461,Rubus nivalis,47.022531,-123.095847,380,11.6,19.9,4.1,15.8,2497,322,8.6,61.9,72,2592,2557,219,311,94,325,231,58,-15.5,39.2,11.8,830,292,68,173.77,1290
3960986446,Rubus nivalis,46.964867,-123.156272,622,10.9,19.3,3.6,15.7,2708,342,7.7,56.5,84,2387,2757,175,306,101,325,224,80,-16.1,38,13,766,234,70,202.66,1159
3947503759,Rubus nivalis,44.243375,-122.168006,1074,11.1,20.2,4.2,15.9,2151,318,9.8,63.5,81,2457,2733,219,285,123,313,190,61,-17.2,40.6,14.8,932,335,62,126,1231
3925451114,Rubus nivalis,44.23242,-122.159403,737,12.1,21.2,4.5,16.7,2010,264,11,80.5,68,2785,2463,321,300,108,315,207,43,-16.1,41.9,13.9,997,438,61,102.79,1460
3925145919,Rubus nivalis,44.232254,-122.161602,743,12.2,21.3,4.6,16.7,2008,264,11,80.7,68,2791,2458,323,300,108,316,208,43,-16.1,41.9,13.9,997,439,61,102.42,1464
3923675728,Rubus nivalis,49.838266,-125.618484,234,10.1,18.9,2.3,16.7,1643,268,12.3,70.8,125,2227,3018,159,295,102,311,209,81,-17.3,37.3,10.5,720,272,72,101.79,1089
3923557533,Rubus nivalis,44.23318,-122.176176,756,12,21.1,4.5,16.7,2031,267,10.8,79.1,71,2749,2496,311,297,110,314,204,46,-16.3,41.8,13.8,996,435,61,105.21,1437
3915528366,Rubus nivalis,43.649942,-122.652572,782,12.3,21.3,5,16.3,1631,232,13.7,91.6,62,2818,2413,325,305,108,323,216,30,-15.3,41.2,14.2,978,448,63,68.62,1477
3915470570,Rubus nivalis,49.531581,-125.551217,502,9.3,18.4,1.5,17,2748,434,7,42.5,159,2007,3300,121,275,116,307,191,197,-19.3,36.5,10.7,687,157,72,216.86,961
3915455599,Rubus nivalis,49.772897,-125.621835,228,10.1,18.9,2.3,16.7,1835,275,11,68.9,126,2215,3033,158,293,104,310,207,93,-17.4,37.3,11.5,722,269,71,120.97,1082
