gbifID,species,decimalLatitude,decimalLongitude,elevation
441686260,Amelanchier alnifolia,50.233333,-121.566667,337.5
441686241,Amelanchier alnifolia,48.054722,-121.5175,579
441686226,Amelanchier alnifolia,48.333611,-122.165278,195
441686190,Amelanchier alnifolia,48.901553,-121.008936,1570
441686186,Amelanchier alnifolia,48.465833,-121.026667,1142
441686091,Amelanchier alnifolia,46.928988,-117.270805,633
441686090,Amelanchier alnifolia,48.73222,-122.67083,2
441686089,Amelanchier alnifolia,47.14472,-122.83278,0
441686086,Amelanchier alnifolia,47.81083,-122.37611,25
441686085,Amelanchier alnifolia,48.741035,-117.547779,884
441686084,Amelanchier alnifolia,48.267608,-119.740738,339
441686083,Amelanchier alnifolia,47.45158,-122.82889,10
441686081,Amelanchier alnifolia,47.199444,-121,655
441686080,Amelanchier alnifolia,47.53028,-122.03139,152
441686079,Amelanchier alnifolia,47.77561,-123.12014,533.5
441686078,Amelanchier alnifolia,48.16444,-122.6775,4
441686076,Amelanchier alnifolia,47.75812,-119.21832,485
441686074,Amelanchier alnifolia,47.78111,-120.84194,667
441686073,Amelanchier alnifolia,48.34123,-124.66272,5
441686071,Amelanchier alnifolia,45.710936,-121.671067,53
441686068,Amelanchier alnifolia,47.23806,-123.40667,139
441686067,Amelanchier alnifolia,47.23306,-123.95806,48
441686066,Amelanchier alnifolia,46.364115,-122.90722,15
441686064,Amelanchier alnifolia,48.15389,-118.16806,534
441686063,Amelanchier alnifolia,47.65889,-117.425,573
441686062,Amelanchier alnifolia,47.32944,-121.37167,793
441686061,Amelanchier alnifolia,47.60472,-119.34639,482
441686058,Amelanchier alnifolia,47.091529,-117.968252,534
441686055,Amelanchier alnifolia,48.245825,-119.738807,548.5
441686037,Amelanchier alnifolia,48.694833,-121.1234,809
441686036,Amelanchier alnifolia,48.88333,-118.76667,1117
441686021,Amelanchier alnifolia,48.87517,-121.01923,463
441686017,Amelanchier alnifolia,47.884183,-118.979067,715
441686016,Amelanchier alnifolia,47.866117,-118.7234,773
441686015,Amelanchier alnifolia,47.62542,-119.33154,460
441686014,Amelanchier alnifolia,47.870278,-119.073889,557
441686012,Amelanchier alnifolia,47.6671,-119.602333,616
441686010,Amelanchier alnifolia,42.720483,-118.623817,2351
441686008,Amelanchier alnifolia,45.741,-121.22549,120
441686004,Amelanchier alnifolia,47.17804,-120.65198,304
441685986,Amelanchier alnifolia,48.66315,-123.1729,8
441685985,Amelanchier alnifolia,48.66315,-123.1729,8
441685984,Amelanchier alnifolia,48.76422,-122.88631,0
441685983,Amelanchier alnifolia,48.61385,-122.974533,15
441685982,Amelanchier alnifolia,47.5004,-118.55721,557
441685965,Amelanchier alnifolia,47.20124,-119.98695,375
441685964,Amelanchier alnifolia,47.16837,-119.99768,221
441685960,Amelanchier alnifolia,47.3302,-120.6752,1000
441685956,Amelanchier alnifolia,47.09935,-120.842033,718
441685954,Amelanchier alnifolia,48.76398,-122.88579,3
441685953,Amelanchier alnifolia,48.76435,-122.88718,0
441685951,Amelanchier alnifolia,48.74791,-122.84196,3
441685944,Amelanchier alnifolia,47.545859,-120.284934,335
441685937,Amelanchier alnifolia,48.756717,-122.891011,20
441685927,Amelanchier alnifolia,48.53402,-122.55352,21
441685926,Amelanchier alnifolia,47.07405,-120.2119,1074
441685924,Amelanchier alnifolia,48.5221,-122.545467,51
441685920,Amelanchier alnifolia,48.532833,-122.970333,18
441685918,Amelanchier alnifolia,47.328467,-120.653267,993
441685915,Amelanchier alnifolia,47.14745,-120.0138,370
441685914,Amelanchier alnifolia,47.119444,-120.030556,357
441685913,Amelanchier alnifolia,47.290383,-120.6991,835
441685899,Amelanchier alnifolia,47.086567,-120.034,178
441685898,Amelanchier alnifolia,47.07845,-120.051967,285
441685888,Amelanchier alnifolia,48.535283,-122.55555,5
441685883,Amelanchier alnifolia,48.598367,-123.024067,2
441685874,Amelanchier alnifolia,48.388806,-120.836639,662
441685839,Amelanchier alnifolia,46.548948,-120.622878,384
