gbifID,species,decimalLatitude,decimalLongitude,elevation
4028706027,Vaccinium parvifolium,48.494542,-123.342944,163
4028705003,Vaccinium parvifolium,49.254124,-123.19757,76
4028702462,Vaccinium parvifolium,49.234455,-122.351158,180
4028701412,Vaccinium parvifolium,49.251875,-123.239485,80
4028699655,Vaccinium parvifolium,49.050527,-122.311172,68
4028687452,Vaccinium parvifolium,47.503587,-121.737983,1070
4028686394,Vaccinium parvifolium,49.358937,-123.066447,629
4028680905,Vaccinium parvifolium,47.954437,-123.833801,607
4028678676,Vaccinium parvifolium,49.267356,-123.258381,77
4028672783,Vaccinium parvifolium,49.290383,-124.662699,204
4028659440,Vaccinium parvifolium,49.245547,-122.917069,18
4028658508,Vaccinium parvifolium,49.230265,-123.018877,127
4028632789,Vaccinium parvifolium,47.685315,-123.049308,187
4028631981,Vaccinium parvifolium,49.195658,-122.824917,106
4028631974,Vaccinium parvifolium,44.937029,-123.849901,241
4028626502,Vaccinium parvifolium,49.351404,-123.229112,226
4028622794,Vaccinium parvifolium,48.4902,-123.483283,77
4028622790,Vaccinium parvifolium,49.246819,-124.352442,151
4028621803,Vaccinium parvifolium,49.155365,-122.63178,77
4028619738,Vaccinium parvifolium,48.467651,-123.549889,66
4028619419,Vaccinium parvifolium,49.420175,-123.624337,55
4028605909,Vaccinium parvifolium,49.155117,-122.631386,77
4028602740,Vaccinium parvifolium,49.274516,-122.215227,154
4022346581,Vaccinium parvifolium,48.864975,-123.513071,66
4022334699,Vaccinium parvifolium,49.304744,-123.133964,13
4022327725,Vaccinium parvifolium,47.530487,-122.395911,38
4022326424,Vaccinium parvifolium,49.050955,-122.864294,69
4022322628,Vaccinium parvifolium,49.173135,-125.967013,6
4022306475,Vaccinium parvifolium,49.3042,-123.132869,20
4022293677,Vaccinium parvifolium,49.598306,-122.649819,22
4022289611,Vaccinium parvifolium,48.613525,-123.447512,234
4022285832,Vaccinium parvifolium,49.34377,-123.026244,169
4022276587,Vaccinium parvifolium,49.288495,-122.979926,132
4022275373,Vaccinium parvifolium,49.759517,-124.97317,61
4022272644,Vaccinium parvifolium,48.459912,-123.558563,72
4022268364,Vaccinium parvifolium,49.015281,-122.469703,94
4022257399,Vaccinium parvifolium,49.342758,-123.116103,92
4022254673,Vaccinium parvifolium,49.305444,-123.135486,15
4022247764,Vaccinium parvifolium,48.437764,-124.101136,101
4022237730,Vaccinium parvifolium,49.280635,-122.919702,333
4022227404,Vaccinium parvifolium,51.65509,-128.137711,9
4022223398,Vaccinium parvifolium,49.308767,-122.958153,75
